NAMELSAD,LAT,LON,acs2022_5yr_total 65 and older,acs2022_5yr_65_proportion
Census Tract 4415.24,37.559478,-122.0506929,237,0.057650207
Census Tract 4426.02,37.5481936,-122.0049837,794,0.170276646
Census Tract 4433.22,37.4829831,-121.9198352,421,0.127151918
Census Tract 4507.45,37.6803328,-121.8519308,701,0.111358221
Census Tract 9819,37.7998452,-122.3173831,0,0
Census Tract 4287,37.7817406,-122.3026484,652,0.128397007
Census Tract 4037.01,37.8112134,-122.2586656,652,0.224132004
Census Tract 4041.02,37.8260219,-122.2510667,826,0.305812662
Census Tract 4251.02,37.8398785,-122.2946351,290,0.073066264
Census Tract 4251.03,37.8425607,-122.2898163,172,0.055430229
Census Tract 4351.03,37.6516747,-121.9827815,1313,0.168896321
Census Tract 4377.02,37.638444,-122.0734492,153,0.03943299
Census Tract 4403.34,37.5938189,-122.0649125,815,0.201682752
Census Tract 4415.23,37.5647764,-122.0464882,194,0.045497186
Census Tract 4224,37.8752396,-122.2695878,482,0.115118223
Census Tract 4069,37.7932754,-122.1903789,693,0.179301423
Census Tract 4221,37.8733067,-122.2965336,587,0.1834375
Census Tract 4222,37.8728828,-122.2878171,404,0.123170732
Census Tract 4223,37.8740722,-122.2779151,696,0.195121951
Census Tract 4066.01,37.7936093,-122.2079606,729,0.160891635
Census Tract 4054.02,37.7933319,-122.2461006,513,0.139667846
Census Tract 4371.02,37.6298655,-122.1002746,845,0.18958941
Census Tract 4356.01,37.6746707,-122.1022676,534,0.097999633
Census Tract 4377.01,37.6348665,-122.0697491,179,0.049763692
Census Tract 4514.04,37.6852758,-121.7803514,521,0.078570351
Census Tract 4507.43,37.6930411,-121.8924273,351,0.047209146
Census Tract 4035.01,37.8177398,-122.2600504,936,0.1908646
Census Tract 4065,37.7880811,-122.2169865,940,0.144748999
Census Tract 4507.44,37.6969031,-121.8651217,1378,0.236851152
Census Tract 4059.01,37.7877859,-122.2357701,354,0.094224115
Census Tract 4501.01,37.7050855,-121.8851378,262,0.038064797
